shape_pt_node,shape_pt_seq,route_id,index,y,x,osmid,highway,ref,lon,lat,geometry
272854963,1,TT-2056,272854963,-3755550.023884408,308363.2925353871,272854963,traffic_signals,,150.92687969999997,-33.9229662,POINT (308363.2925353871 -3755550.023884408)
5752114846,2,TT-2056,5752114846,-3755530.123583576,308223.6436695384,5752114846,,,150.9253742,-33.9227614,POINT (308223.6436695384 -3755530.123583576)
272854964,3,TT-2056,272854964,-3755525.55927458,308190.92939398193,272854964,,,150.9250215,-33.922714299999996,POINT (308190.9293939819 -3755525.55927458)
1844215663,4,TT-2056,1844215663,-3755523.899919145,308179.7135300513,1844215663,traffic_signals,,150.9249006,-33.9226973,POINT (308179.7135300513 -3755523.899919145)
274485396,5,TT-2056,274485396,-3755509.0972698107,308070.6523504681,274485396,,,150.9237247,-33.922544,POINT (308070.6523504682 -3755509.097269811)
1857227913,6,TT-2056,1857227913,-3755718.5893768114,308040.6509849289,1857227913,,,150.9233545,-33.924426700000005,POINT (308040.6509849289 -3755718.589376811)
6031151684,7,TT-2056,6031151684,-3755739.426068615,308037.34529718827,6031151684,,,150.9233142,-33.9246139,POINT (308037.3452971883 -3755739.426068615)
1857227902,8,TT-2056,1857227902,-3755757.846680787,308033.36179889785,1857227902,,,150.92326709999998,-33.9247792,POINT (308033.3617988979 -3755757.846680787)
274485440,9,TT-2056,274485440,-3755770.0143321417,308026.9580173793,274485440,traffic_signals,,150.92319519999998,-33.924887700000006,POINT (308026.9580173793 -3755770.014332142)
6824584989,10,TT-2056,6824584989,-3755810.1356802513,307976.9839773732,6824584989,,,150.92264609999998,-33.9252402,POINT (307976.9839773732 -3755810.135680251)
1857228094,11,TT-2056,1857228094,-3755837.202234832,307943.2646031135,1857228094,traffic_signals,,150.9222756,-33.925478000000005,POINT (307943.2646031135 -3755837.202234832)
1844215682,12,TT-2056,1844215682,-3755903.6997010894,307866.3100466893,1844215682,traffic_signals,,150.92142900000002,-33.926063299999996,POINT (307866.3100466893 -3755903.699701089)
6824584992,13,TT-2056,6824584992,-3755927.1548272236,307841.1010832985,6824584992,,,150.9211513,-33.9262701,POINT (307841.1010832985 -3755927.154827224)
274485441,14,TT-2056,274485441,-3755967.2291216524,307796.78795451904,274485441,,,150.9206634,-33.9266232,POINT (307796.787954519 -3755967.229121652)
1857227863,15,TT-2056,1857227863,-3755984.494749217,307784.10625820805,1857227863,,,150.9205225,-33.9267765,POINT (307784.106258208 -3755984.494749217)
1857228044,16,TT-2056,1857228044,-3756003.0020352807,307772.5688780126,1857228044,,,150.9203937,-33.9269412,POINT (307772.5688780126 -3756003.002035281)
1857228022,17,TT-2056,1857228022,-3756012.2711606114,307766.3103336963,1857228022,traffic_signals,,150.920324,-33.927023600000005,POINT (307766.3103336963 -3756012.271160611)
1857227941,18,TT-2056,1857227941,-3756024.5506867818,307757.13471347786,1857227941,,,150.9202221,-33.9271326,POINT (307757.1347134779 -3756024.550686782)
1857227800,19,TT-2056,1857227800,-3756034.932615225,307744.69283493713,1857227800,,,150.9200853,-33.9272239,POINT (307744.6928349371 -3756034.932615225)
1857228156,20,TT-2056,1857228156,-3756042.0932716606,307732.4353993177,1857228156,,,150.91995119999999,-33.927286200000005,POINT (307732.4353993178 -3756042.093271661)
1857227826,21,TT-2056,1857227826,-3756062.2074996233,307702.93272295076,1857227826,,,150.91962780000003,-33.92746210000001,POINT (307702.9327229508 -3756062.207499623)
1857228163,22,TT-2056,1857228163,-3756069.8199841133,307691.9238428435,1857228163,,,150.9195071,-33.9275287,POINT (307691.9238428435 -3756069.819984113)
1857227892,23,TT-2056,1857227892,-3756085.759302329,307673.5276207133,1857227892,,,150.91930469999997,-33.927669,POINT (307673.5276207133 -3756085.759302329)
7299060281,24,TT-2056,7299060281,-3756089.552215826,307669.775564887,7299060281,,,150.9192633,-33.9277025,POINT (307669.775564887 -3756089.552215827)
1857227880,25,TT-2056,1857227880,-3756106.1727120695,307653.3539567783,1857227880,,,150.9190821,-33.9278493,POINT (307653.3539567783 -3756106.172712069)
1857227811,26,TT-2056,1857227811,-3756138.662165691,307622.0124511932,1857227811,,,150.9187361,-33.9281364,POINT (307622.0124511932 -3756138.662165691)
1857227975,27,TT-2056,1857227975,-3756169.323133867,307594.9439342922,1857227975,,,150.91843669999997,-33.928407799999995,POINT (307594.9439342922 -3756169.323133867)
3626144499,28,TT-2056,3626144499,-3756188.7323265546,307573.41844027024,3626144499,traffic_signals,,150.9181997,-33.9285788,POINT (307573.4184402702 -3756188.732326555)
1857228014,29,TT-2056,1857228014,-3756196.850070042,307562.6697709729,1857228014,,,150.9180817,-33.92865,POINT (307562.6697709729 -3756196.850070042)
