stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,mode,route,shape_id
214074,214074.0,"Homebush Station, Platform 4",-33.866789815475485,151.086383264864,,PST1216,2.0,4,Train,['T2-A-L-C'],T2-WSAR-CTYC
214077,214077.0,"Homebush Station, Platform 7",-33.86706148967569,151.086342224215,,PST1216,2.0,7,Train,['T2-C-L-A'],T2-CTYC-WSAR
2193111,2193111.0000000005,"Canterbury Station, Platform 1",-33.911973853454604,151.118607054655,,PST1395,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
2193111,2193111.0000000005,"Canterbury Station, Platform 1",-33.911973853454604,151.118607054655,,PST1395,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
2193112,2193112.0,"Canterbury Station, Platform 2",-33.91190337249149,151.118290259531,,PST1395,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
2193112,2193112.0,"Canterbury Station, Platform 2",-33.91190337249149,151.118290259531,,PST1395,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
2160261,2160260.9999999995,"Merrylands Station, Platform 1",-33.836546878389605,150.992598993232,,PST1282,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
2160262,2160262.0,"Merrylands Station, Platform 2",-33.836607760696204,150.99266661642798,,PST1282,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
204833,204833.0,"Stanmore Station, Platform 3",-33.89463980122549,151.16404804556197,,PST1213,2.0,3,Train,['T2-C-L-A'],T2-CTYC-WSAR
204832,204832.0,"Stanmore Station, Platform 2",-33.894531493720905,151.16405357677098,,PST1213,2.0,2,Train,['T2-A-L-C'],T2-WSAR-CTYC
2000391,2000391.0000000002,"Town Hall Station, Platform 1",-33.8736468928067,151.20693521465796,,PST1101,2.0,1,Train,['T2-C-L-A'],T2-CTYC-WSAR
2113341,2113340.9999999995,"Macquarie Park Station, Platform 1",-33.78500653969209,151.128413816668,,PST1427,2.0,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
2113341,2113340.9999999995,"Macquarie Park Station, Platform 1",-33.78500653969209,151.128413816668,,PST1427,2.0,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
2113342,2113342.0,"Macquarie Park Station, Platform 2",-33.785127095225,151.12831170431002,,PST1427,2.0,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
2113342,2113342.0,"Macquarie Park Station, Platform 2",-33.785127095225,151.12831170431002,,PST1427,2.0,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
217428,217428.0,"Edmondson Park Station, Platform 2",-33.9693861057192,150.858815230449,,PST1447,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
217427,217427.0,"Edmondson Park Station, Platform 1",-33.96930444135689,150.85883316728902,,PST1447,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
2141313,2141312.9999999995,"Lidcombe Station, Platform 3",-33.8637438649856,151.04494562107,,PST1218,2.0,3,Train,['T2-A-L-C'],T2-WSAR-CTYC
2155270,2155270.0,"Tallawong Station, Platform 3",-33.69171886577783,150.90590553310258,,PST4008,2.0,,Metro,['M-1-L-T'],M-1-LVPL-TLWG
213284,213284.0,"Croydon Station, Platform 4",-33.8832046750841,151.115363618631,,PST1208,1.0,4,Train,['T2-A-L-C'],T2-WSAR-CTYC
213285,213285.0,"Croydon Station, Platform 5",-33.883304711012485,151.11533602018997,,PST1208,1.0,5,Train,['T2-C-L-A'],T2-CTYC-WSAR
2166271,2166271.0000000005,"Cabramatta Station, Platform 1",-33.89508748328189,150.938730257016,,PST1287,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
2126160,2126160.0,"Cherrybrook Station, Platform 2",-33.73684705143909,151.032035623757,,PST4001,2.0,,Metro,['M-1-L-T'],M-1-LVPL-TLWG
2000341,2000340.9999999998,"Central Station, Platform 21",-33.88428108857809,151.207123152013,,PST1100,2.0,21,Train,['T2-C-L-A'],T2-CTYC-WSAR
2154263,2154263.0000000005,"Castle Hill Station, Platform 2",-33.731557069507105,151.00773824647496,,PST4002,2.0,,Metro,['M-1-L-T'],M-1-LVPL-TLWG
2154262,2154262.0,"Castle Hill Station, Platform 1",-33.731459150587895,151.00770133308,,PST4002,2.0,,Metro,['M-1-T-L'],M-1-TLWG-LVPL
2154265,2154264.9999999995,"Hills Showground Station, Platform 2",-33.72784384267409,150.987474411373,,PST4003,2.0,,Metro,['M-1-L-T'],M-1-LVPL-TLWG
2154264,2154264.0,"Hills Showground Station, Platform 1",-33.727727921007,150.98743668891802,,PST4003,2.0,,Metro,['M-1-T-L'],M-1-TLWG-LVPL
220362,220362.0,"Dulwich Hill Station, Platform 2",-33.911042374629695,151.1409752514,,PST1393,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
220362,220362.0,"Dulwich Hill Station, Platform 2",-33.911042374629695,151.1409752514,,PST1393,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
220361,220361.0,"Dulwich Hill Station, Platform 1",-33.910987675343804,151.140994214653,,PST1393,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
220361,220361.0,"Dulwich Hill Station, Platform 1",-33.910987675343804,151.140994214653,,PST1393,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
2144244,2144244.0,"Auburn Station, Platform 4",-33.8493756036634,151.03275509038798,,PST1219,2.0,4,Train,['T2-C-L-A'],T2-CTYC-WSAR
2144243,2144243.0000000005,"Auburn Station, Platform 3",-33.84933785016049,151.032807310247,,PST1219,2.0,3,Train,['T2-A-L-C'],T2-WSAR-CTYC
