route,route_short_name,from,to,off_peak_tt,first_start_M_F,first_start_Sat,first_start_Sun,last_start_M_F,last_start_Sat,last_start_Sun,avg_freq_M_F,avg_freq_Sat,avg_freq_Sun,nTrips_M_F,nTrips_Sat,nTrips_Sun,Notes
AERO-MG,AERO-MG,Aerotropolis,Middleton Grange,25,4:30,,,23:30,,,10,,,,,,
MG-AERO,MG-AERO,Middleton Grange,Aerotropolis,25,4:30,,,23:30,,,10,,,,,,
10th-ASTH-CSLA,10th Av Tway,Aerotropolis South,Casula,41,4:30,,,23:30,,,5,,,,,,
10th-CSLA-ASTH,10th Av Tway,Casula,Aerotropolis South,41,4:30,,,23:30,,,5,,,,,,
15th-AERO-LVPL,15th Av Tway,Aerotropolis,Liverpool,40,4:30,,,23:30,,,5,,,,,,
15th-LVPL-AERO,15th Av Tway,Liverpool,Aerotropolis,40,4:30,,,23:30,,,5,,,,,,
20th-AERO-LVPL,20th Av Tway,Aerotropolis,Liverpool,44,4:30,,,23:30,,,5,,,,,,
20th-LVPL-AERO,20th Av Tway,Liverpool,Aerotropolis,44,4:30,,,23:30,,,5,,,,,,
25th-BPRK-CBMT,25th Av Tway,Western Sydney Airport Business Park,Cabramatta,44,4:30,,,23:30,,,5,,,,,,
25th-CBMT-BPRK,25th Av Tway,Cabramatta,Western Sydney Airport Business Park,44,4:30,,,23:30,,,5,,,,,,
Austral-NE-E,Austral-NE-E,Liverpool,Austral NE - Liverpool,54,4:30,,,23:30,,,1,,,,,,
Austral-NE-N,Austral-NE-N,Western Sydney Airport Business Park,Austral NE - Western Sydney Airport Business Park,49,4:30,,,23:30,,,1,,,,,,
Austral-NE-S,Austral-NE-S,Leppington,Austral NE - Leppington,22,4:30,,,23:30,,,1,,,,,,
Austral-NE-W,Austral-NE-W,Aerotropolis,Austral NE - Aerotropolis,43,4:30,,,23:30,,,1,,,,,,
Austral-NW-E,Austral-NW-E,Liverpool,Austral NW - Liverpool,61,4:30,,,23:30,,,1,,,,,,
Austral-NW-N,Austral-NW-N,Western Sydney Airport Business Park,Austral NW - Western Sydney Airport Business Park,47,4:30,,,23:30,,,1,,,,,,
Austral-NW-S,Austral-NW-S,Leppington,Austral NW - Leppington,30,4:30,,,23:30,,,1,,,,,,
Austral-NW-W,Austral-NW-W,Aerotropolis,Austral NW - Aerotropolis,40,4:30,,,23:30,,,1,,,,,,
Austral-SE-E,Austral-SE-E,Casula,Austral SE - Casula,52,4:30,,,23:30,,,1,,,,,,
Austral-SE-N,Austral-SE-N,Western Sydney Airport Business Park,Austral SE - Western Sydney Airport Business Park,54,4:30,,,23:30,,,1,,,,,,
Austral-SE-S,Austral-SE-S,Leppington,Austral SE - Leppington,16,4:30,,,23:30,,,1,,,,,,
Austral-SE-W,Austral-SE-W,Aerotropolis South,Austral SE - Aerotropolis South,45,4:30,,,23:30,,,1,,,,,,
