shape_id,shape_length,stops,traveltime_min
10th-ASTH-CSLA,23618.182759440893,13,41.0
10th-CSLA-ASTH,23442.31311682937,13,41.0
15th-AERO-LVPL,22601.72469594879,13,40.0
15th-LVPL-AERO,22648.60943429658,13,40.0
20th-AERO-LVPL,25100.434752953483,14,44.0
20th-LVPL-AERO,25147.312614279726,14,44.0
25th-BPRK-CBMT,24292.601910734054,15,43.0
25th-CBMT-BPRK,24396.345942550568,15,43.0
AERO-MG,13503.547624499332,10,25.0
Austral-NE-E,27925.039280666904,22,51.0
Austral-NE-N,26182.554061054354,18,47.0
Austral-NE-S,9574.0523891887,12,19.0
Austral-NE-W,21473.809157127005,18,40.0
Austral-NW-E,31031.117384175497,24,57.0
Austral-NW-N,23094.667665956735,18,42.0
Austral-NW-S,15643.834511955924,12,29.0
Austral-NW-W,18367.62233288781,16,34.0
Austral-SE-E,26983.95488559083,24,50.0
Austral-SE-N,29030.994084662103,20,52.0
Austral-SE-S,6734.194709749139,10,14.0
Austral-SE-W,23957.300597107667,16,43.0
Austral-SW-E,32190.012450244893,26,59.0
Austral-SW-N,31108.793812872183,20,56.0
Austral-SW-S,8564.469066608039,10,17.0
Austral-SW-W,19573.577606073024,14,35.0
B-AERO-BPRK,5656.913346357486,3,10.0
B-BPRK-AERO,5656.917941120701,3,10.0
C-STCK-STMR,21313.3768933142,16,39.0
C-STMR-STCK,21291.597274078507,16,39.0
D-MTDT-RSMR,23564.392664175863,18,43.0
D-RSMR-MTDT,23631.992223887417,18,43.0
E-BPRK-LPTN,15566.636053199298,8,27.0
E-LPTN-BPRK,15485.279610129599,8,27.0
KempsCreek-NE-E,38322.03058559035,30,70.0
KempsCreek-NE-N,35902.6692318331,34,68.0
KempsCreek-NE-S,16003.416211364003,16,30.0
KempsCreek-NE-W,14797.824459893138,14,28.0
KempsCreek-NW-E,41145.933473722034,32,75.0
KempsCreek-NW-N,29626.076437458913,30,56.0
KempsCreek-NW-S,17688.47269007673,16,33.0
KempsCreek-NW-W,11690.651172546732,12,22.0
KempsCreek-SE-E,36873.753476186896,26,67.0
KempsCreek-SE-N,38351.513624558975,36,72.0
KempsCreek-SE-S,13527.71392053304,14,26.0
KempsCreek-SE-W,17566.967034145044,16,33.0
KempsCreek-SW-E,41231.50079171211,28,74.0
KempsCreek-SW-N,33876.80006480401,32,64.0
KempsCreek-SW-S,16352.447664883915,14,30.0
KempsCreek-SW-W,16177.072681028383,14,30.0
MG-AERO,13527.464658002249,10,25.0
Rossmore-NE-E,34381.346405599215,26,63.0
Rossmore-NE-N,40866.03009967919,38,77.0
Rossmore-NE-S,11035.774256874714,12,21.0
Rossmore-NE-W,15015.764332327382,14,28.0
Rossmore-NW-E,37621.799334519696,28,68.0
Rossmore-NW-N,35913.43296869627,34,68.0
Rossmore-NW-S,11396.620432193218,12,22.0
Rossmore-NW-W,11774.922372230052,12,22.0
Rossmore-SE-E,37096.61305620844,28,68.0
Rossmore-SE-N,43724.21741132521,40,82.0
Rossmore-SE-S,8179.442608643748,10,16.0
Rossmore-SE-W,13844.458277382097,12,26.0
Rossmore-SW-E,41142.96046548405,30,75.0
Rossmore-SW-N,39255.846660845455,36,74.0
Rossmore-SW-S,9604.47658490606,10,18.0
Rossmore-SW-W,11163.102389403391,10,21.0
