shape_id,shape_length,stops,traveltime_min
10th-ASTH-CSLA,21765.162282073034,13,39.0
10th-CSLA-ASTH,21589.298425358727,13,38.0
15th-AERO-LVPL,22672.658563286044,13,40.0
15th-LVPL-AERO,22721.13006333564,13,40.0
20th-AERO-LVPL,24913.71736048505,14,44.0
20th-LVPL-AERO,24991.841995593382,14,44.0
25th-BPRK-CBMT,24710.344967430454,15,44.0
25th-CBMT-BPRK,24814.14141452837,15,44.0
AERO-MG,13573.184687012425,10,25.0
Austral-NE-E,29574.23315073355,22,54.0
Austral-NE-N,27538.07363137728,18,49.0
Austral-NE-S,11307.396906722508,12,22.0
Austral-NE-W,23274.48425097927,18,43.0
Austral-NW-E,33742.13415245508,24,61.0
Austral-NW-N,25993.70621603772,18,47.0
Austral-NW-S,14838.08181640171,12,27.0
Austral-NW-W,22340.88001025722,16,40.0
Austral-SE-E,27990.98316997641,24,52.0
Austral-SE-N,29995.311028926586,20,54.0
Austral-SE-S,7959.974549791275,10,16.0
Austral-SE-W,21529.09898810058,16,39.0
Austral-SW-E,29938.697647914814,26,56.0
Austral-SW-N,28862.255392000963,20,52.0
Austral-SW-S,9517.95276651425,10,18.0
Austral-SW-W,17300.31095715057,14,32.0
B-AERO-BPRK,5656.913346357486,3,10.0
B-BPRK-AERO,5656.917941120701,3,10.0
C-STCK-STMR,21374.04035461828,16,39.0
C-STMR-STCK,21352.26073537236,16,39.0
D-MTDT-RSMR,23575.430768129438,18,43.0
D-RSMR-MTDT,23657.22230133765,18,43.0
E-BPRK-LPTN,15445.922089055346,8,27.0
E-LPTN-BPRK,15364.558318230815,8,27.0
KempsCreek-NE-E,38961.40914926191,30,71.0
KempsCreek-NE-N,36542.047795788814,34,69.0
KempsCreek-NE-S,16963.676686227514,16,32.0
KempsCreek-NE-W,16153.273777621329,14,30.0
KempsCreek-NW-E,42831.49770077933,32,78.0
KempsCreek-NW-N,32048.720165923456,30,60.0
KempsCreek-NW-S,19081.715631526782,16,35.0
KempsCreek-NW-W,13136.477678994628,12,25.0
KempsCreek-SE-E,37911.8851428119,26,68.0
KempsCreek-SE-N,39748.6692181915,36,74.0
KempsCreek-SE-S,14560.74919224022,14,28.0
KempsCreek-SE-W,18780.480460335148,16,35.0
KempsCreek-SW-E,40889.339876900296,28,74.0
KempsCreek-SW-N,34007.74175500552,32,64.0
KempsCreek-SW-S,16342.930626459549,14,30.0
KempsCreek-SW-W,16177.072681028383,14,30.0
MG-AERO,13599.94530867996,10,25.0
Rossmore-NE-E,36743.371249524425,26,66.0
Rossmore-NE-N,44097.64187571002,38,82.0
Rossmore-NE-S,12429.8617305873,12,23.0
Rossmore-NE-W,17170.169078809162,14,32.0
Rossmore-NW-E,38700.87784657457,28,70.0
Rossmore-NW-N,36908.331707524216,34,69.0
Rossmore-NW-S,12431.644430599517,12,24.0
Rossmore-NW-W,12383.05106446563,12,23.0
Rossmore-SE-E,35632.376488738475,28,65.0
Rossmore-SE-N,45336.080816749534,40,84.0
Rossmore-SE-S,9550.2178192665,10,18.0
Rossmore-SE-W,15189.272353820665,12,28.0
Rossmore-SW-E,37436.9160622973,30,69.0
Rossmore-SW-N,39377.21711883791,36,74.0
Rossmore-SW-S,9604.47658490606,10,18.0
Rossmore-SW-W,11163.102389403391,10,21.0
